spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,genus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,nameAccordingToID,created,modified,references,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Iteadaphne philippinensis,Iteadaphne philippinensis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,14,1,wfo-0000527473,462501-1,Alseodaphne philippinensis,SPECIES,wfo-4000001374,(Elmer) Kosterm.,Lauraceae,Alseodaphne,philippinensis,,,,Reinwardtia 5: 344 1960,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2630143,,TRUE,Synonym,wfo-0001072058,Iteadaphne philippinensis
Ixora coccinea,Ixora coccinea,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,15,1,wfo-0000667056,703489-1,Embothrium coccineum,SPECIES,wfo-4000013301,J.R.Forst. & G.Forst.,Proteaceae,Embothrium,coccineum,,,,Char. Gen. Pl. 8 1775,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2788267,,TRUE,Synonym,wfo-0000218310,Ixora coccinea
Ixora coccinea,Ixora coccinea,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,15,2,wfo-0000218311,753844-1,Ixora coccinea,SPECIES,wfo-4000019411,L.,Rubiaceae,Ixora,coccinea,,,,Sp. Pl. 110 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-103356,,FALSE,,,
Ixora coccinea,Ixora coccinea,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,15,3,wfo-0000218302,753834-1,Ixora chinensis,SPECIES,wfo-4000019411,Lam.,Rubiaceae,Ixora,chinensis,,,,Encycl. 3: 344 1789,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-103348,,TRUE,Synonym,wfo-0000218312,Ixora coccinea
Ixora macrophylla,Ixora macrophylla,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,1,wfo-0000218691,754165-1,Ixora macrophylla,SPECIES,wfo-4000019411,Bartl. ex DC.,Rubiaceae,Ixora,macrophylla,,,,Prodr. 4: 487 1830,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-103703,,FALSE,,,
Ixora philippinensis,Ixora philippinensis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,1,wfo-0000218877,754338-1,Ixora philippinensis,SPECIES,wfo-4000019411,Merr.,Rubiaceae,Ixora,philippinensis,,,,"Philipp. J. Sci., C 5: 238 1910",Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-103880,,FALSE,,,
Ixora rhodesiaca,Ixora rhodesiaca,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,18,1,wfo-0000218234,753776-1,Ixora brachypoda,SPECIES,wfo-4000019411,DC.,Rubiaceae,Ixora,brachypoda,,,,Prodr. 4: 488 1830,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-103285,,TRUE,Synonym,wfo-0000218931,Ixora rhodesiaca
Jabaranda mimos,Jabaranda mimos,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,19,1,wfo-0000778761,130936-2,Jacaranda mimosifolia,SPECIES,wfo-4000019423,D.Don,Bignoniaceae,Jacaranda,mimosifolia,,,,Bot. Reg. 8: t. 631 1822,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-317311,,FALSE,,,
Jacaranda copai,Jacaranda copai,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,20,1,wfo-0000778869,109789-1,Jacaranda copaia,SPECIES,wfo-4000019423,(Aubl.) D.Don,Bignoniaceae,Jacaranda,copaia,,,,Edinburgh Philos. J. 9: 264 1823,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-317413,,FALSE,,,
Jacaranda copaia,Jacaranda copaia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,21,1,wfo-0000778869,109789-1,Jacaranda copaia,SPECIES,wfo-4000019423,(Aubl.) D.Don,Bignoniaceae,Jacaranda,copaia,,,,Edinburgh Philos. J. 9: 264 1823,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-317413,,FALSE,,,
Jacaranda mimosifolia,Jacaranda mimosifolia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,22,1,wfo-0000778761,130936-2,Jacaranda mimosifolia,SPECIES,wfo-4000019423,D.Don,Bignoniaceae,Jacaranda,mimosifolia,,,,Bot. Reg. 8: t. 631 1822,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-317311,,FALSE,,,
Jacaratia dolichaula,Jacaratia dolichaula,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,23,1,wfo-0000355851,130973-2,Jacaratia dolichaula,SPECIES,wfo-4000019424,(Donn.Sm.) Woodson,Caricaceae,Jacaratia,dolichaula,,,,Ann. Missouri Bot. Gard. 37: 404 1950,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2332947,,FALSE,,,
