ID,Submitted_Name,Order,Family,Genus,Species,Infrasp,Infraspecies,Authors,Status,LCVP_Accepted_Taxon,PL_Comparison,PL_Alternative,Score,Insertion,Deletion,Substitution
36,Acacia welwitschii,Fabales,Fabaceae,Acacia,welwitschii,species, ,Oliv.,synonym,Senegalia welwitschii (Oliv.) Kyal. & Boatwr.,synonym,,matched,0,0,0
37,Acalypha amentacea,Malpighiales,Euphorbiaceae,Acalypha,amentacea,species, ,Roxb.,accepted,Acalypha amentacea Roxb.,identical,,matched,0,0,0
38,Acalypha caturus,Malpighiales,Euphorbiaceae,Acalypha,caturus,species, ,Blume,accepted,Acalypha caturus Blume,identical,,matched,0,0,0
39,Acalypha indica,Malpighiales,Euphorbiaceae,Acalypha,indica,species, ,L.,accepted,Acalypha indica L.,identical,,matched,0,0,0
40,Acalypha lancetillae,Malpighiales,Euphorbiaceae,Acalypha,lancetillae,species, ,Standl.,accepted,Acalypha lancetillae Standl.,identical,,matched,0,0,0
41,Acanthus illicifolius,Lamiales,Acanthaceae,Acanthus,ilicifolius,species, ,L.,accepted,Acanthus ilicifolius L.,identical,,misspelling: Epithet,1,0,0
42,Accacia mimosa,,,,,,,,,,,,Genus name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,commutatum,(C.Presl) Borbás,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,divergens,Bornm.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,gallicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,hispanicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,ibericum,(M.Bieb.) Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,illyricum,(J.Jacq.) Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,liburnicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,maroccanum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,micropterum,Bornm.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,rumelicum,Griseb.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,turkestanicum,(Franch.) Schwer.,synonym,Acer pentapomicum Stewart ex Brandis,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,species, ,L.,accepted,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,assyriacum,(Pojark.) Rech.f.,accepted,Acer monspessulanum subsp. assyriacum (Pojark.) Rech.f.,missing,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,cinerascens,(Boiss.) Yalt.,synonym,Acer monspessulanum L.,synonym,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,glabrescens,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,ibericum,(M.Bieb. ex Willd.) Yalt.,accepted,Acer monspessulanum subsp. ibericum (M.Bieb. ex Willd.) Yalt.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,loscosii,(Rouy) P.Fourn.,accepted,Acer monspessulanum subsp. loscosii (Rouy) P.Fourn.,synonym,Acer monspessulanum L.,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,martinii,(Jord.) P.Fourn.,synonym,Acer monspessulanum L.,other synonym,Acer martinii_x Jord.,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,microphyllum,(Boiss.) Bornm.,accepted,Acer monspessulanum subsp. microphyllum (Boiss.) Bornm.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,persicum,(Pojark.) Rech.f.,accepted,Acer monspessulanum subsp. persicum (Pojark.) Rech.f.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,pubescens,(Franch.) Wesm.,synonym,Acer pentapomicum Stewart ex Brandis,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,turcomanicum,(Pojark.) Rech.f.,synonym,Acer monspessulanum L.,synonym,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,subsp.,turcomanicum,A.E.Murray,synonym,Acer turcomanicum Pojark.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,athoum,Bornm. & Sint.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,cassinense,A.Terracc. ex Bolle,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,commutatum,(C.Presl) Steud.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,corallinum,Pax,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,crenatum,Regel ex Kom.,synonym,Acer pentapomicum Stewart ex Brandis,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,cruciatum,Pax,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,divergens,Cout.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,ibericum,(M.Bieb.) K.Koch,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,illyricum,(J.Jacq.) Steud.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,integrilobum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,lycicum,Bornm.,synonym,Acer hyrcanum Fisch. & C.A.Mey.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,microphyllum,Boiss.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,quinquelobum,Willk. & Lange,synonym,Acer coriaceum_x Bosc ex Tausch,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,turkestanicum,Franch.,synonym,Acer pentapomicum Stewart ex Brandis,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,var.,villosum,Willk. & Lange,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
44,Acer syriaca,Sapindales,Sapindaceae,Acer,syriacum,species, ,Boiss. & Gaill.,synonym,Acer obtusifolium Sm.,identical,,misspelling: Epithet,0,1,1
45,Acer tauricolum,Sapindales,Sapindaceae,Acer,tauricolum,species, ,Boiss. & Balansa,synonym,Acer hyrcanum Fisch. & C.A.Mey.,identical,,matched,0,0,0
46,Acer turkestanica,Rosales,Rosaceae,Amelanchier,turkestanica,species, ,Litv.,accepted,Amelanchier turkestanica Litv.,identical,,matched,0,0,0
47,Achatocarpus nigricans,Caryophyllales,Achatocarpaceae,Achatocarpus,nigricans,species, ,Triana,accepted,Achatocarpus nigricans Triana,identical,,matched,0,0,0
48,Acmena acuminatissima,Myrtales,Myrtaceae,Acmena,acuminatissima,species, ,(Blume) Merr. & L.M.Perry,synonym,Syzygium acuminatissimum (Blume) DC.,identical,,matched,0,0,0
49,Acnistus arbore,Solanales,Solanaceae,Brachistus,arboreus,species, ,Pittier,synonym,Capsicum rhomboideum (Dunal) Kuntze,missing,,misspelling: Epithet,0,2,0
50,Acosmium paname,Fabales,Fabaceae,Acosmium,panamense,species, ,(Benth.) Yakovlev,synonym,Leptolobium panamense (Benth.) Sch.Rodr. & A.M.G.Azevedo,synonym,,misspelling: Epithet,0,3,0
51,Acosmium panamense,Fabales,Fabaceae,Acosmium,panamense,species, ,(Benth.) Yakovlev,synonym,Leptolobium panamense (Benth.) Sch.Rodr. & A.M.G.Azevedo,synonym,,matched,0,0,0
52,Acrocomia acule,Arecales,Arecaceae,Acrocomia,ulei,species, ,Dammer,synonym,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,identical,,misspelling: Epithet,2,1,0
53,Acrocomia mexicana,Arecales,Arecaceae,Acrocomia,mexicana,species, ,Karw. ex Mart.,synonym,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,identical,,matched,0,0,0
54,Acrocomia vinífera,Arecales,Arecaceae,Acrocomia,vinifera,species, ,Oerst.,synonym,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,identical,,misspelling: Epithet,0,0,1
55,Actinodaphne dolichophylla,Laurales,Lauraceae,Actinodaphne,dolichophylla,species, ,(Merr.) Merr.,accepted,Actinodaphne dolichophylla (Merr.) Merr.,identical,,matched,0,0,0
56,Actinophlous macarthurii,,,,,,,,,,,,Genus name not found,0,0,0
57,Adansonia digitata,Malvales,Bombacaceae,Adansonia,digitata,species, ,L.,accepted,Adansonia digitata L.,identical,,matched,0,0,0
58,Adelia barbinervis,Malpighiales,Euphorbiaceae,Adelia,barbinervis,species, ,Cham. & Schltdl.,accepted,Adelia barbinervis Cham. & Schltdl.,identical,,matched,0,0,0
59,Adelia triloba,Malpighiales,Euphorbiaceae,Adelia,triloba,species, ,(Müll.Arg.) Hemsl.,accepted,Adelia triloba (Müll.Arg.) Hemsl.,identical,,matched,0,0,0
60,Adenanthera intermedia,Fabales,Fabaceae,Adenanthera,intermedia,species, ,Merr.,accepted,Adenanthera intermedia Merr.,identical,,matched,0,0,0
61,Adenium obesum,Gentianales,Apocynaceae,Adenium,obesum,species, ,(Forssk.) Roem. & Schult.,accepted,Adenium obesum (Forssk.) Roem. & Schult.,identical,,matched,0,0,0
62,Adina cordifolia,Gentianales,Rubiaceae,Adina,cordifolia,species, ,(Roxb.) Brandis,accepted,Adina cordifolia (Roxb.) Brandis,other synonym,Haldina cordifolia (Roxb.) Ridsdale,matched,0,0,0
63,Adina sessilifolia,Gentianales,Rubiaceae,Adina,sessilifolia,species, ,(Roxb.) Hook.f. ex Brandis,synonym,Neonauclea sessilifolia (Roxb.) Merr.,identical,,matched,0,0,0
64,Aegiceras corniculatum,Ericales,Myrsinaceae,Aegiceras,corniculatum,species, ,(L.) Blanco,accepted,Aegiceras corniculatum (L.) Blanco,identical,,matched,0,0,0
65,Aegle marmelos,Sapindales,Rutaceae,Aegle,marmelos,species, ,(L.) Corrêa,accepted,Aegle marmelos (L.) Corrêa,identical,,matched,0,0,0
66,Aerva lanata,Caryophyllales,Amaranthaceae,Aerva,lanata,species, ,(L.) Juss.,synonym,Ouret lanata (L.) Kuntze,different authors,,matched,0,0,0
66,Aerva lanata,Caryophyllales,Amaranthaceae,Aerva,lanata,species, ,(L.) Juss. ex Schult.,synonym,Ouret lanata (L.) Kuntze,synonym,Aerva lanata (L.) Juss.,matched,0,0,0
67,Aeschynanthus nervosus,Lamiales,Gesneriaceae,Aeschynanthus,nervosus,species, ,(Elmer) Schltr.,accepted,Aeschynanthus nervosus (Elmer) Schltr.,identical,,matched,0,0,0
68,Aeschynomene aspera,Fabales,Fabaceae,Aeschynomene,aspera,species, ,L.,accepted,Aeschynomene aspera L.,identical,,matched,0,0,0
69,Afrormosia laxiflora,Fabales,Fabaceae,Afrormosia,laxiflora,species, ,(Baker) Harms,synonym,Pericopsis laxiflora (Benth. ex Baker) Meeuwen,identical,,matched,0,0,0
70,Afrostyrax kamerunensis,Oxalidales,Huaceae,Afrostyrax,kamerunensis,species, ,G.Perkins & Gilg,accepted,Afrostyrax kamerunensis G.Perkins & Gilg,identical,,matched,0,0,0
71,Afrostyrax lepidophyllus,Oxalidales,Huaceae,Afrostyrax,lepidophyllus,species, ,Mildbr.,accepted,Afrostyrax lepidophyllus Mildbr.,identical,,matched,0,0,0
72,Afzelia africana,Fabales,Fabaceae,Afzelia,africana,species, ,Pers.,accepted,Afzelia africana Pers.,identical,,matched,0,0,0
73,Afzelia bipindensis,Fabales,Fabaceae,Afzelia,bipindensis,species, ,Harms,accepted,Afzelia bipindensis Harms,identical,,matched,0,0,0
74,Afzelia pachyloba,Fabales,Fabaceae,Afzelia,pachyloba,species, ,Harms,accepted,Afzelia pachyloba Harms,identical,,matched,0,0,0
75,Afzelia quanzensis,Fabales,Fabaceae,Afzelia,quanzensis,species, ,Welw.,accepted,Afzelia quanzensis Welw.,identical,,matched,0,0,0
76,Afzelia rhomboidea,Fabales,Fabaceae,Afzelia,rhomboidea,species, ,(Blanco) S.Vidal,accepted,Afzelia rhomboidea (Blanco) S.Vidal,identical,,matched,0,0,0
77,Agathis philippinensis,Pinales,Araucariaceae,Agathis,philippensis,species, ,Warb.,synonym,Agathis dammara (Lamb.) Rich. & A.Rich.,identical,,misspelling: Epithet,2,0,0
78,Agauria salicifolia,Ericales,Ericaceae,Agauria,salicifolia,species, ,(Lam.) Hook.f. ex Oliv.,accepted,Agauria salicifolia (Lam.) Hook.f. ex Oliv.,different authors,Agarista salicifolia (Lam.) G.Don,matched,0,0,0
79,Aglaia apoana,Sapindales,Meliaceae,Aglaia,apoana,species, ,Merr.,synonym,Aglaia elliptica (C.DC.) Blume,identical,,matched,0,0,0
80,Aglaia banahaensis,Sapindales,Meliaceae,Aglaia,banahaensis,species, ,Elmer ex Merr.,synonym,Aglaia elliptica (C.DC.) Blume,identical,,matched,0,0,0
81,Aglaia cumingiana,Sapindales,Meliaceae,Aglaia,cummingiana,species, ,Turcz.,accepted,Aglaia cummingiana Turcz.,identical,,misspelling: Epithet,0,1,0
82,Aglaia diffusa,Sapindales,Meliaceae,Aglaia,diffusa,species, ,Merr.,synonym,Aglaia edulis (Roxb.) Wall.,identical,,matched,0,0,0
83,Aglaia edulis,Sapindales,Meliaceae,Aglaia,edulis,species, ,(Roxb.) Wall.,accepted,Aglaia edulis (Roxb.) Wall.,identical,,matched,0,0,0
84,Aglaia elaeagnoidea,Sapindales,Meliaceae,Aglaia,elaeagnoidea,species, ,(A.Juss.) Benth.,accepted,Aglaia elaeagnoidea (A.Juss.) Benth.,identical,,matched,0,0,0
85,Aglaia elliptica,Sapindales,Meliaceae,Aglaia,elliptica,species, ,(C.DC.) Blume,accepted,Aglaia elliptica (C.DC.) Blume,identical,,matched,0,0,0
86,Aglaia laevigata,Sapindales,Meliaceae,Aglaia,laevigata,species, ,Merr.,synonym,Aglaia leptantha Miq.,identical,,matched,0,0,0
87,Aglaia llanosiana,Sapindales,Meliaceae,Aglaia,llanosiana,species, ,C.DC.,synonym,Aglaia rimosa (Blanco) Merr.,identical,,matched,0,0,0
88,Aglaia luzoniensis,Sapindales,Meliaceae,Aglaia,luzoniensis,species, ,(S.Vidal) Merr. & Rolfe,accepted,Aglaia luzoniensis (S.Vidal) Merr. & Rolfe,different authors,,matched,0,0,0
89,Aglaia oligophylla,Sapindales,Meliaceae,Aglaia,oligophylla,species, ,Miq.,accepted,Aglaia oligophylla Miq.,identical,,matched,0,0,0
90,Aglaia pachyphylla,Sapindales,Meliaceae,Aglaia,pachyphylla,species, ,Miq.,accepted,Aglaia pachyphylla Miq.,identical,,matched,0,0,0
91,Agonandra macro,Santalales,Opiliaceae,Agonandra,macedoi,species, ,Toledo,synonym,Agonandra brasiliensis Miers ex Benth.,identical,,misspelling: Epithet,0,2,1
92,Ailanthus triphysa,Sapindales,Simaroubaceae,Ailanthus,triphysa,species, ,(Dennst.) Alston,accepted,Ailanthus triphysa (Dennst.) Alston,identical,,matched,0,0,0
93,Alangium javanicum var. jaheri,Cornales,Cornaceae,Alangium,javanicum,var.,jaheri,Bloemb.,accepted,Alangium javanicum var. jaheri Bloemb.,missing,,matched,0,0,0
94,Albezia saponaria,,,,,,,,,,,,Genus name not found,0,0,0
95,Albizia acle,Fabales,Fabaceae,Albizia,acle,species, ,(Blanco) Merr.,accepted,Albizia acle (Blanco) Merr.,identical,,matched,0,0,0
96,Albizia adianthifolia,Fabales,Fabaceae,Albizia,adianthifolia,species, ,(Schum.) W.Wight,accepted,Albizia adianthifolia (Schum.) W.Wight,different authors,,matched,0,0,0
97,Albizia adinocephala,Fabales,Fabaceae,Albizia,adinocephala,species, ,(Donn.Sm.) Record,accepted,Albizia adinocephala (Donn.Sm.) Record,identical,,matched,0,0,0
98,Albizia antune,Fabales,Fabaceae,Albizia,antunesiana,species, ,Harms,accepted,Albizia antunesiana Harms,identical,,misspelling: Epithet,0,5,0
99,Albizia antunesiana,Fabales,Fabaceae,Albizia,antunesiana,species, ,Harms,accepted,Albizia antunesiana Harms,identical,,matched,0,0,0
