scientific_name
---.AUSENTE DA LISTA.---
---ABSENTE DE LA LISTE---
---INCONNUE---
---NOT IN LIST----
---NOT KNOWN---
Breviea sericea
Breynia cernua
Breynia rhamnoides
Bridelia
Bridelia cathartica
Bridelia duvigneaudi
Bridelia ferruginea
Bridelia glauca
Bridelia grandis
Bridelia micrantha
Bridelia penangiana
Bridelia retusa
Bridelia scleroneura
Brosimum alicas
Brosimum alicastrum
Brosimum alicastrum Swartz
Brosimum costaricanum
Brosimum guiane
Brosimum panamense
Brosimum sp
Brosimum sp.
Brosimum terrabanum Pittier
Brosimum utile
Brosimun costaricanum Liebm.
Brosimun guianensis
Brosimun lactescens
Broussonetia luzonica
Broussonetia papyrifera
Brownlowia elata
Brunellia costaricensis
Bryonopsis laciniosa
Buchanania arborescens
Buchanania nitida
Buchholzia coriacea
Bucida buceras
Bucida macrostachya
Buddleia americana
Buddleia euryphylla
Buddleia nitida
Buddleia skutchii
Buddleia sp.
Buddleja asiatica
Buettneria herbacea
Bumelia obtusifolia var buxifolia
Bumelia pleistochasia
Burkea
Burkea africana
Bursera graveolens
Bursera serrata
Bursera simarouba (L.) Sarg.
Bursera simarub
Bursera simaruba
Burttia
Burttia prunoides
Butea monosperma
Butyrospermum paradoxum
Butyrospermum sp.
Byrsonima bucidaefolia
Byrsonima crass
Byrsonima crassifolia
Byrsonima crassifolia (L.) D.C.
Byrsonima sp.
Byrsonima spicata
Bysorcarpus
Bysorcarpus orientalis
Caesalpinia bonduc
Caesalpinia coriaria
Caesalpinia coriaria (Jacq.) Willd.
Caesalpinia crista
Caesalpinia eri
Caesalpinia eriostachys Benth.
Caesalpinia exostemma
Caesalpinia pulcherima
Caesalpinia sappan
Caesalpinia velutia (Britton & Rose)
Caesalpinia velutina
Caesalpinia velutina (B. & R.) Standl.
Caesalpinia vesicaria
Caesalpinia violacea
Cajanus cajan
Calamus bicolor
Calamus siphonospathus
Calamus usitatus
Calatola costaricensis
Calatola laevigata
Calliandra calothyrsus
Calliandra confusa
Calliandra mexicana
Calliandra sp01.
Callicarpa arborea
Callicarpa candicans
Callicarpa macrophylla
Callistemon salignus
Callophylum inophyllum
Calocarpum mammosum
Calocarpum viride
Caloncoba
Caloncoba brevipes
Caloncoba gilgiana
Caloncoba glauca
Caloncoba welwitschii
Calophyllum blancoi
"Calophyllum blancoi
Calophyllum blancoi"
Calophyllum bra
Calophyllum brasiliense
Calophyllum brasiliense var. rekoi
Calophyllum chytraculia
Calophyllum cucullatum
Calophyllum inophyllum
Calophyllum mindanaense
Calophyllum obliquenervium
Calophyllum pentapetalum
Calophyllum pseudowallichianum
Calotropis gigantea
Calotropis procera
Calpocalyx dinklagei
Calpocalyx heitzii
Calycophyllum biflorum
Calycophyllum candidissim
Calycophyllum candidissimun (Vahl) DC.
Calyptranthes chytraculia
Calyptranthes hondurensis
Calyptranthes sp.
Campnosperma panamensis
Campnosperma sp
Camptostemon philippinense
Camptostemon philippinensis
Camptostylus
Camptostylus mannii
Cananga odorata
Canarium
Canarium asperum
"Canarium asperum
Canarium asperum"
Canarium gracile
Canarium hirsutum
Canarium hirsutum f. multipinnatum
Canarium luzonicum
Canarium ovatum
Canarium schweinfurthii
Canarium vrieseanum
Canathium
Canathium zanzibaricum
Canostegia xala
Canthium
Canthium arnoldianum
Canthium dicoccum
Canthium gynocthodes
Canthium lactescens
Canthium monstrosum
Canthium palma
Canthium sp.
Capparis cynophallophora
Capparis odoratissima
Capparis verrucosa
Capsicum frutescens
Carallia brachiata
Carapa guianens
Carapa guianensis
Carapa procera
Carapa sp.
Carex baccans
Careya arborea
Carica cauliflo
Carica mexicana
Carica papaya
Carissa carandus
Carissa grandifiora
Carpotroche platyptera
Caryota cumingii
Caryota rumphiana
Casearia aculeate
Casearia arbore
Casearia barteri
Casearia corymbosa
Casearia fuliginosa
Casearia sp.
Casearia sylvestris
Casearia tremula
Casimiroa edulis
Casimiroa sapota
Cassearia silve
Cassia
Cassia abbreviata
Cassia albida
Cassia angolensis
Cassia fistula
Cassia grandis
Cassia grandis L. f.
Cassia javanica
Cassia mannii
Cassia nicaraguensis
Cassia petersiana
Cassia reticulata
Cassia siamea
Cassia singueana
Cassia sp.
Cassia spectabilis
Cassia xiphoidea
Cassine aethiopica
Cassipourea guianensis
Cassytha filiformis
Castanea sativa
Castanopsis indica
Castanopsis javanica
Castanopsis sp
Castanopsis tribuloides
Castilla elasti
Castilla elastica
Castilla guatemalensis
Castilla tunu
Casuarina equisetifolia
Casuarina equisetifolia L. es J.R. Forst. & G. Forst.
Cecrophia peltata
